Unique ID,2016,2017,2018,2019,2020,2021
1449,0,0,1,0,0,0
1453,0,0,0,0,1,0
1454,0,0,0,0,1,0
1456,0,0,0,0,1,0
1501,0,4,0,0,1,0
1502,0,0,4,1,1,0
1508,0,0,3,1,0,0
1509,1,0,0,0,0,0
1512,1,0,0,0,0,0
1515,0,1,0,0,0,0
1517,1,1,1,1,1,0
1518,0,0,1,0,0,0
1520,0,0,1,0,0,0
1522,0,1,0,0,0,0
1523,0,1,0,0,0,0
1528,0,0,0,0,1,0
1530,1,1,1,0,0,0
1531,0,0,0,1,1,0
1532,1,1,1,0,0,0
1535,0,4,0,1,1,0
1537,0,0,0,1,0,0
1542,0,1,0,1,0,0
1543,0,0,0,1,0,0
1553,0,0,4,1,1,0
1554,0,0,1,1,1,0
1557,0,0,0,1,0,0
1559,0,1,1,0,0,0
1601,1,1,1,0,0,0
1602,0,0,0,0,1,0
1603,0,0,0,0,1,0
1604,0,0,1,0,0,0
1606,0,0,1,0,0,0
1607,0,1,0,4,0,0
1609,1,0,0,0,0,0
1611,0,0,1,0,0,0
1618,0,1,0,0,0,0
1619,0,1,1,3,1,0
1620,0,1,0,0,0,0
1621,1,0,0,0,0,0
1622,0,2,1,0,0,0
1623,0,1,0,0,0,0
1625,0,0,1,0,0,0
1626,0,1,1,0,0,0
1630,0,1,1,0,0,0
1631,0,0,1,0,0,0
1632,0,0,0,0,1,0
1633,0,0,0,0,1,0
1634,0,1,0,0,0,0
1635,0,0,2,4,1,0
1637,1,0,0,0,0,0
1638,0,1,0,0,0,0
1641,0,0,0,1,0,0
1642,0,0,0,1,0,0
1645,0,0,1,0,0,0
1648,0,0,1,0,0,0
1651,0,0,0,0,1,0
1654,0,0,0,0,1,0
1656,0,0,0,1,0,0
1658,0,0,1,0,0,0
1659,0,0,1,0,0,0
1706,0,0,0,1,0,0
1710,0,0,0,0,1,0
1717,0,0,0,1,1,0
1718,1,0,0,0,0,0
1719,0,0,0,1,1,0
1720,0,1,0,0,0,0
1725,0,0,4,1,0,0
1726,0,0,1,1,0,0
1727,0,0,0,0,1,0
1728,0,0,1,0,0,0
1729,0,0,0,1,0,0
1731,1,0,1,1,0,0
1732,0,0,0,0,1,0
1733,0,0,0,1,1,0
1735,0,0,0,3,1,0
1736,1,0,1,0,0,0
1739,0,0,0,2,1,0
1742,0,0,0,1,0,0
1743,0,0,0,1,0,0
1745,1,0,0,0,0,0
1747,1,0,0,0,0,0
1749,0,1,0,0,0,0
1751,0,0,1,0,1,0
1753,0,0,0,1,1,0
1754,0,0,0,0,1,0
1808,0,0,4,1,1,0
1809,0,0,1,0,0,0
1812,1,0,0,0,0,0
1816,0,0,1,0,0,0
1818,0,1,1,1,0,0
1821,0,1,1,4,4,0
1822,0,1,0,0,0,0
1823,0,0,1,1,1,0
1825,0,4,1,0,0,0
1826,0,0,1,1,0,0
1827,0,0,1,0,0,0
1828,0,0,0,0,1,0
1829,0,0,0,1,0,0
1830,0,0,1,0,0,0
1831,0,1,1,1,1,0
1832,0,0,0,0,1,0
1833,0,0,0,0,1,0
1834,1,0,0,0,0,0
1835,0,0,1,1,1,0
1837,0,0,4,0,1,0
1842,0,0,1,0,0,0
1847,0,1,0,0,0,0
1849,1,1,0,0,0,0
1851,0,0,0,0,1,0
1853,0,0,4,0,1,0
1854,0,2,0,0,1,0
1855,0,0,0,0,1,0
1856,0,0,0,1,0,0
1858,1,0,1,0,0,0
1904,1,1,0,0,0,0
1906,0,0,1,0,0,0
1907,1,0,1,0,0,0
1908,0,1,4,0,1,0
1909,0,1,0,0,0,0
1913,1,0,0,0,0,0
1915,0,1,1,0,0,0
1919,0,1,0,0,0,0
1920,0,1,0,0,0,0
1922,0,1,0,0,0,0
1929,0,0,1,0,0,0
1930,0,0,1,0,0,0
1931,0,0,1,1,0,0
1932,0,0,0,0,1,0
1933,0,0,0,1,1,0
1936,0,0,1,0,0,0
1938,0,1,0,0,0,0
1939,0,0,0,0,1,0
1947,1,0,0,0,0,0
1948,0,1,0,0,0,0
1950,0,0,0,0,1,0
1953,0,0,0,0,1,0
1957,0,0,1,0,0,0
1959,0,0,1,0,0,0
2001,1,0,0,0,0,0
2002,0,0,0,1,1,0
2003,0,0,0,1,0,0
2006,0,0,1,0,0,0
2008,0,4,0,0,1,0
2011,1,0,0,0,0,0
2017,0,0,0,1,0,0
2025,0,0,1,0,0,0
2026,0,0,0,1,0,0
2027,0,0,1,0,0,0
2028,0,0,0,0,1,0
2029,0,1,1,0,0,0
2030,0,0,1,0,0,0
2031,0,0,0,4,1,0
2033,0,3,1,4,1,0
2034,0,4,1,0,0,0
2037,0,1,0,0,0,0
2038,1,0,0,0,0,0
2039,0,0,0,0,1,0
2042,0,0,1,0,0,0
2045,1,0,0,0,0,0
2048,0,0,1,0,0,0
2051,0,0,0,0,1,0
2054,1,1,1,0,1,0
2057,0,1,0,0,0,0
2059,0,1,0,0,0,0
2104,0,0,1,0,0,0
2106,0,0,1,0,0,0
2108,0,0,0,0,1,0
2113,0,1,0,0,0,0
2122,0,1,1,0,0,0
2126,0,1,1,1,0,0
2128,0,0,0,1,0,0
2130,0,0,1,0,0,0
2134,0,1,1,1,0,0
2135,0,0,0,1,1,0
2136,0,2,1,1,1,0
2137,0,1,0,0,0,0
2138,0,1,0,0,0,0
2139,4,1,1,1,1,0
2143,0,0,1,0,0,0
2145,1,0,0,0,0,0
2146,1,0,0,0,0,0
2149,3,1,1,0,0,0
2151,0,0,0,0,1,0
2152,0,0,0,0,1,0
2153,0,0,0,1,1,0
2156,0,0,0,1,0,0
2159,0,1,0,0,0,0
2203,0,0,0,0,1,0
2204,0,2,1,0,0,0
2205,0,0,0,1,1,0
2206,0,2,1,0,0,0
2216,0,0,4,3,1,0
2222,1,1,0,0,0,0
2225,0,0,1,0,0,0
2226,0,0,0,1,1,0
2227,1,0,1,0,0,0
2228,0,0,0,0,1,0
2231,0,1,4,0,0,0
2233,0,0,0,0,1,0
2234,1,0,0,0,0,0
2235,1,1,1,0,1,0
2237,1,0,0,0,0,0
2239,0,0,0,0,1,0
2249,0,1,0,0,0,0
2251,0,1,1,1,1,0
2254,0,0,0,1,1,0
2256,0,0,0,1,0,0
2257,0,0,0,0,1,0
2259,0,1,0,0,0,0
2305,1,1,0,0,0,0
2308,0,0,0,0,1,0
2309,1,0,0,0,0,0
2310,0,0,0,0,1,0
2316,0,1,0,0,0,0
2317,0,0,2,1,0,0
2320,0,0,0,0,1,0
2321,0,1,0,0,0,0
2322,0,0,1,1,1,0
2323,0,1,0,0,0,0
2324,0,0,4,1,0,0
2326,0,0,1,1,0,0
2328,0,0,0,0,1,0
2332,0,0,0,0,1,0
2335,0,0,0,1,0,0
2338,0,0,1,0,0,0
2339,0,0,2,1,1,0
2342,0,0,0,1,0,0
2343,0,0,0,1,0,0
2348,0,0,1,0,0,0
2349,0,0,0,1,0,0
2350,0,0,0,0,1,0
2353,0,0,0,0,1,0
2354,0,0,0,0,1,0
2356,0,0,0,0,1,0
2357,0,0,1,0,0,0
2358,0,0,1,0,0,0
2403,0,0,0,0,1,0
2405,0,0,1,0,0,0
